"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-270" 228459.87924825 6719536.50883856 177 27.027027027027 11.9
"sm-dnos-271" 228383.43378241 6719191.20196042 255 32.4324324324324 21.4
"sm-dnos-272" 228249.601338501 6719046.51657364 177 21.6216216216216 18
"sm-dnos-273" 228373.136764042 6718884.10538854 259 46.8468468468468 14.6
"sm-dnos-274" 228093.49709709 6718933.12763349 166 12.6126126126126 18.9
"sm-dnos-275" 228199.888534625 6718622.42530631 170 52.2522522522522 49.6
"sm-dnos-276" 228361.121169555 6718552.0064888 231 45.9459459459459 19
"sm-dnos-277" 227737.909231655 6719048.30292423 130 13.5135135135135 5.8
"sm-dnos-278" 228215.29048378 6718031.17908783 114 11.7117117117117 4.1
"sm-dnos-279" 228377.314286351 6717791.82519163 43 5.40540540540541 2.4
"sm-dnos-280" 228969.690262827 6717737.16509122 94 9.90990990990991 4.1
"sm-dnos-281" 229008.162820957 6717388.53935901 116 11.7117117117117 6.8
"sm-dnos-282" 228029.820133452 6719500.57207776 235 12.6126126126126 3.4
"sm-dnos-283" 228122.686903458 6719783.93441954 313 104.504504504504 47.7
"sm-dnos-284" 227872.831989975 6720026.59254954 335 85.5855855855856 48.7
"sm-dnos-285" 227586.282136151 6719816.06924587 265 18.018018018018 16.7
"sm-dnos-286" 227574.849875749 6719504.61605649 42 5.40540540540541 2
"sm-dnos-287" 227768.316474375 6719364.76480812 168 17.1171171171171 6.4
"sm-dnos-288" 229569.428429512 6717497.50247328 252 81.0810810810811 42.4
"sm-dnos-289" 229440.011822849 6717286.70899832 296 56.7567567567568 45.5
"sm-dnos-290" 229303.361345074 6717507.94042327 102 10.8108108108108 8.3
"sm-dnos-291" 229186.11399738 6717178.73723751 124 12.6126126126126 7
"sm-dnos-292" 228316.500239202 6721679.07602036 273 25.2252252252252 11.4
"sm-dnos-293" 228681.245363565 6719292.59587067 313 27.027027027027 5.5
"sm-dnos-294" 230090.627116063 6719484.35635789 347 19.8198198198198 4.4
"sm-dnos-295" 230148.072810071 6718945.93610472 202 30.6306306306306 44.4
"sm-dnos-296" 230265.775993946 6718778.92921184 262 34.2342342342342 22.6
"sm-dnos-297" 230651.42432819 6718645.09729481 296 146.846846846847 55.5
"sm-dnos-298" 231015.895715165 6718597.71626187 170 64.8648648648649 9.2
"sm-dnos-299" 231205.777365778 6718503.65158975 146 9.00900900900901 8.1
"sm-dnos-300" 230893.507588401 6717858.40559062 121 9.90990990990991 9
"sm-dnos-301" 230701.752492312 6717986.36483225 119 9.00900900900901 7.3
"sm-dnos-302" 230915.525519027 6718245.09213089 61 13.5135135135135 4
"sm-dnos-303" 230632.960862863 6718985.99503576 256 86.4864864864865 47.3
"sm-dnos-304" 230693.585393383 6717100.36592801 117 15.3153153153153 22.9
"sm-dnos-305" 230707.592595163 6717505.38750086 65 7.20720720720721 2.3
"sm-dnos-306" 230477.839929701 6717706.42211367 72 9.90990990990991 2.4
"sm-dnos-307" 229973.679756117 6717278.06114912 88 9.00900900900901 3.3
"sm-dnos-308" 228737.649032665 6717438.57100718 60 5.40540540540541 2.7
"sm-dnos-309" 229064.216009974 6718008.13495816 145 17.1171171171171 6.2
"sm-dnos-310" 229282.250859924 6718237.4913773 128 12.6126126126126 13.5
"sm-dnos-311" 229258.916448034 6718449.25658792 78 11.7117117117117 6.6
"sm-dnos-312" 228727.602854335 6718734.60508572 246 90.990990990991 25.7
"sm-dnos-313" 229021.458633808 6718798.73210273 195 28.8288288288288 16.8
"sm-dnos-314" 229182.144937 6719392.78648892 344 24.3243243243243 4.7
"sm-dnos-315" 229528.113123896 6719097.39873987 241 33.3333333333333 9.7
"sm-dnos-316" 229236.956861156 6718917.09187619 229 20.7207207207207 7.3
"sm-dnos-317" 229061.229937457 6719049.96195473 153 46.8468468468468 9.3
"sm-dnos-318" 228652.706497646 6718281.2864953 202 129.72972972973 65.4
"sm-dnos-319" 228551.843276576 6718068.17822574 191 20.7207207207207 7.2
"sm-dnos-320" 228628.634007453 6717926.59841998 224 39.6396396396396 10.3
"sm-dnos-321" 228778.909088445 6718012.1061313 147 20.7207207207207 8.6
"sm-dnos-322" 228952.935049297 6718321.8307611 197 19.8198198198198 8
"sm-dnos-323" 228689.241287528 6717704.86403469 183 86.4864864864865 57.2
"sm-dnos-324" 230056.295579714 6719509.37751433 190 34.2342342342342 25.7
"sm-dnos-325" 230185.024052137 6719110.00868541 51 39.6396396396396 35.7
"sm-dnos-326" 230015.118624076 6719142.41601989 27 26.1261261261261 57.7
"sm-dnos-327" 230002.894119728 6719307.96756249 62 49.5495495495495 39.5
"sm-dnos-328" 229976.602646328 6719361.35919898 10 18.018018018018 41.5
"sm-dnos-329" 230029.213925022 6719221.18552806 163 50.4504504504504 60.8
"sm-dnos-330" 229892.512621474 6719182.72735596 85 36.9369369369369 64.4
"sm-dnos-331" 229836.512413991 6719202.0119166 55 30.6306306306306 37.1
"sm-dnos-332" 229806.725330255 6719822.85656173 412 36.9369369369369 7.6
"sm-dnos-333" 229472.158520116 6719713.39764688 262 39.6396396396396 17.2
"sm-dnos-334" 229403.826599873 6719645.07767385 134 101.801801801802 41.1
"sm-dnos-335" 229312.771135442 6719550.47196937 104 84.6846846846847 37.1
"sm-dnos-336" 229170.914883029 6719356.12875554 273 31.5315315315315 7
"sm-dnos-337" 229221.737155029 6719310.54175812 238 32.4324324324324 9.7
"sm-dnos-338" 229174.414086429 6719159.08263743 284 29.7297297297297 10.8
"sm-dnos-339" 228920.448249218 6719212.51759629 165 100 34.6
"sm-dnos-340" 229327.696888558 6719056.61967665 245 104.504504504504 45.3
